Mat;Ind;Ipa;Ing;AVG;SUM;JURUSAN;;
75;80;60;70;71,25;285;MULTIMEDIA;;
87,5;80;95;80;85,625;342,5;MULTIMEDIA;;
97,5;86;80;58;80,375;321,5;MULTIMEDIA;;
85,5;90;90;90;88,875;355,5;MULTIMEDIA;;
62,5;82;65;44;63,375;253,5;MULTIMEDIA;;
47,5;86;55;72;65,125;260,5;MULTIMEDIA;;
52,5;84;57,5;48;60,5;242;MULTIMEDIA;;
55;86;65;40;61,5;246;MULTIMEDIA;;
62,5;76;52,5;44;58,75;235;MULTIMEDIA;;
65;92;72,5;52;70,375;281,5;MULTIMEDIA;;
55;80;62,5;46;60,875;243,5;MULTIMEDIA;;
62,5;74;47,5;50;58,5;234;MULTIMEDIA;;
42,5;84;45;58;57,375;229,5;MULTIMEDIA;;
40;76;47,5;48;52,875;211,5;MULTIMEDIA;;
42,5;80;42,5;50;53,75;215;MULTIMEDIA;;
70;68;60;44;60,5;242;MULTIMEDIA;;
50;78;60;30;54,5;218;MULTIMEDIA;;
45;72;57,5;50;56,125;224,5;MULTIMEDIA;;
60;82;57,5;44;60,875;243,5;MULTIMEDIA;;
45;84;47,5;42;54,625;218,5;MULTIMEDIA;;
35;78;62,5;64;59,875;239,5;MULTIMEDIA;;
47,5;78;60;66;62,875;251,5;MULTIMEDIA;;
45;84;70;44;60,75;243;MULTIMEDIA;;
